hashtag,parent_hashtag,category,w1,3d1,3d2,3d3,zipper,charging
61,meme,object,True,True,True,False,False,False
67,meme,object,True,True,True,True,True,True
abominablesnowman,character,object,False,False,True,False,False,False
abstract,,object,True,True,True,True,True,True
ace,onepiece,object,True,True,False,True,True,True
adventuretime,cartoon,object,False,True,True,True,True,True
afc,football,object,True,False,False,True,True,True
afcchampionsleagueelite,football,object,False,True,True,False,False,False
aircraft,vehicle,object,False,False,False,True,True,True
airplane,vehicle,object,False,True,True,False,False,False
aizensosuke,bleach,object,False,False,False,True,True,True
akatsuki,naruto,object,False,True,False,False,False,False
akaza,demonslayer,object,True,True,True,True,True,True
alahlifc,football,object,False,False,False,True,True,True
alejandrobalde,football,object,True,False,False,False,False,False
algerianationalteam,football,object,False,True,False,False,False,False
alhilalsfc,football,object,False,True,False,True,True,True
alice,swordartonline,object,False,False,False,True,True,True
alicethymefield,zenlesszonezero,object,False,True,False,False,False,False
allsaint'sday,holiday,object,False,False,True,False,False,False
amanekanata,hololive,object,False,False,True,False,False,False
americanfootball,sport,object,True,False,True,False,False,False
amongus,game,object,True,False,False,False,False,False
angel,religion,object,True,False,False,True,True,True
animal,,object,True,True,True,True,True,True
anime,,object,True,True,True,True,True,True
animeboy,anime,object,True,True,True,True,True,True
animegirl,anime,object,True,True,True,True,True,True
animelandsacpe,nature,object,False,True,False,False,False,False
anubis,religion,object,False,True,False,False,False,False
anyaforger,spyxfamily,object,True,False,False,True,True,True
aobing,natra,object,False,False,False,True,True,True
aquaman,dc,object,True,False,False,False,False,False
aquarius,zodiac,object,True,False,True,False,False,False
architecture,scenery,object,False,False,False,True,True,True
arcraiders,game,object,False,True,True,False,False,False
arenaofvalor,game,object,True,True,True,True,True,True
arg,football,object,False,False,False,True,True,True
argentinanationalteam,football,object,True,True,True,False,False,False
aries,zodiac,object,True,False,True,False,False,False
arknights,game,object,True,False,False,False,False,False
arsenal,football,object,True,True,True,True,True,True
astonvilla,football,object,True,True,True,False,False,False
astro,,object,False,True,True,False,False,False
astronaut,universe,object,True,True,True,True,True,True
asuna,swordartonline,object,False,False,False,True,True,True
atleticomadrid,football,object,False,True,False,True,True,True
atleticomineiro,football,object,False,True,True,False,False,False
atléticomadrid,football,object,True,False,True,False,False,False
attackontitan,anime,object,True,True,True,True,True,True
audi,car,object,True,True,True,True,True,True
aurora,nature,object,True,False,False,True,True,True
australianationalteam,football,object,False,True,False,False,False,False
austrianationalteam,football,object,False,True,False,False,False,False
autumn,nature,object,True,True,True,True,True,True
avatar,film,object,True,True,True,True,True,True
avatarthelastairbender,cartoon,object,False,False,False,True,True,True
badbunny,people,object,False,True,True,False,False,False
bahia,football,object,False,True,False,False,False,False
bakugo,myheroacademia,object,True,False,False,False,False,False
